 ,Mg,Rg,a,ad,ag,al,an,b,begin,bg,bl,c,cc,d,dg,dl,e,end,f,gb,gc,gg,gi,gm,gp,h,i,j,k,l,m,mq,n,nba,nbc,nf,ng,nhd,nhm,nis,nit,nmc,nnd,nnt,nr,nr1,nr2,nrf,nrj,ns,nsf,nt,ntc,ntcb,nto,ntu,nx,nz,o,p,pba,pbei,q,qt,qv,r,rr,ry,rys,ryt,ryv,rz,rzs,rzt,rzv,s,t,tg,u,ude1,ude2,ude3,udeng,udh,uguo,ule,ulian,uls,usuo,uyy,uzhe,uzhi,v,vd,vf,vg,vi,vl,vn,vshi,vx,vyou,w,x,xu,y,z
rr,0,0,5353,1830,111,181,250,1439,0,0,88,3384,4542,47315,7,223,19,280,1962,3,0,0,42,119,0,0,1,9,55,35,2564,2402,16109,0,0,32,427,63,0,726,3,0,93,487,100,1,0,27,0,233,8,4,1,0,4,0,0,3721,12,15555,1181,1019,1102,135,29,1075,1784,251,23,19,937,1487,376,34,1162,2962,4300,32,37,35219,5,161,76,120,101,540,113,507,937,173,2,61,73900,219,2718,230,7851,1498,4216,6495,19,1934,13841,96,0,524,292
ry,0,0,592,29,31,4,62,75,0,0,0,52,93,2041,2,0,4,59,39,0,0,0,1,1,0,0,0,0,0,0,79,166,5514,0,0,87,96,9,0,53,1,0,31,96,4,2,0,0,0,12,7,0,0,0,0,0,0,223,2,439,14,7,204,72,73,9,55,25,0,0,4,74,0,0,12,56,22,22,0,384,29,3,3,4,4,104,7,0,29,10,0,6,2183,1,365,18,284,29,569,355,0,134,3287,26,0,386,6
rys,0,0,19,0,0,0,0,0,0,0,0,0,8,131,0,5,0,12,1,0,0,0,0,0,0,0,0,0,0,0,16,0,74,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,8,0,0,2,1,0,0,3,0,12,0,0,4,0,0,0,0,0,0,0,28,0,0,0,0,2,99,0,0,0,0,0,0,271,0,163,5,39,1,21,23,0,33,1907,1,0,54,0
ryt,0,0,1,8,0,0,0,0,0,0,0,1,1,99,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,24,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,8,0,4,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,3,16,0,0,0,0,0,0,249,1,24,3,57,0,11,2,0,1,317,1,0,4,0
ryv,0,0,261,65,4,2,23,65,0,0,1,100,73,1608,0,6,0,15,30,1,0,0,0,0,0,0,0,1,1,0,72,111,534,0,0,22,32,1,0,27,0,0,5,17,29,5,0,5,3,54,10,0,1,0,0,0,0,314,0,637,67,53,51,7,0,29,133,3,0,0,32,154,3,1,75,9,100,3,4,1150,7,0,4,0,40,116,4,0,0,0,0,0,6572,8,162,30,527,59,896,56,3,61,1798,3,0,214,10
rz,0,9,7419,592,217,101,397,2068,0,1,27,366,1221,8365,5,31,1,53,970,100,17,5,126,127,17,0,0,20,163,30,3465,3074,59620,3,0,476,1346,73,0,4596,24,19,439,3021,345,31,0,84,21,937,139,16,83,0,4,2,0,3892,0,4553,71,749,2239,862,361,130,471,42,0,1,596,565,25,4,90,760,1554,103,7,3399,71,11,455,17,28,35,19,13,387,11,6,19,21758,166,387,398,3208,592,6113,1231,27,1160,12404,346,0,42,150
rzs,0,0,203,90,4,5,15,99,0,0,3,79,98,1121,1,1,0,10,1515,0,0,10,0,2,0,0,0,1,3,0,140,63,3297,0,0,26,115,1,0,185,0,0,54,113,16,0,0,3,0,9,2,0,1,0,2,0,0,247,0,314,8,25,233,6,65,29,65,0,1,0,10,150,0,0,1,21,62,4,1,1357,3,1,29,1,14,51,3,3,13,1,0,11,2718,25,120,19,439,52,573,203,6,194,1686,41,0,36,11
rzt,0,0,16,9,0,1,0,6,0,0,0,17,3,179,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,33,118,0,0,0,5,0,0,8,0,0,6,20,31,3,0,2,0,14,1,0,0,0,0,0,0,34,0,36,1,6,0,0,0,13,157,1,0,0,0,7,0,0,0,6,25,0,1,137,0,0,0,0,0,0,0,0,1,0,0,0,177,2,54,0,14,1,9,19,0,12,626,1,0,0,2
rzv,0,1,1897,360,14,57,86,708,0,0,30,1553,544,9428,3,15,3,9,925,16,5,2,14,4,0,0,0,2,10,43,9443,4410,9647,0,0,144,419,9,1,241,0,0,74,395,64,4,0,7,1,51,16,0,11,0,0,0,0,1233,3,2080,59,127,10291,335,779,166,514,56,5,0,84,851,9,0,100,179,359,35,2,5628,9,20,25,68,1,41,3,3,72,44,0,84,8491,26,704,79,606,239,730,8695,1,108,2428,12,0,114,85
s,0,0,2410,378,65,42,193,946,0,0,16,409,628,4941,7,44,6,447,941,16,21,4,79,79,5,0,0,3,12,3,2126,964,17698,3,0,204,503,23,4,1988,3,3,307,708,128,14,0,49,2,256,33,2,24,0,0,0,0,2159,12,1245,60,281,228,15,36,172,117,37,7,0,18,425,21,0,175,397,208,74,77,8706,71,2,64,17,85,154,14,5,79,18,4,30,17631,139,851,124,3888,323,5176,195,7,1275,16483,110,0,38,109
